lang,run,method,group,metric,value
DE,1,merged,sent_sent,p,0.7235294117647059
DE,1,merged,sent_sent,r,0.7463592233009708
DE,1,merged,sent_sent,f,0.7347670250896058
DE,1,merged,sent_sent,pred,850.0
DE,1,merged,sent_sent,truth,824.0
DE,1,merged,sent_sent,tp,615.0
DE,1,system,sent_sent,p,0.7235294117647059
DE,1,system,sent_sent,r,0.7463592233009708
DE,1,system,sent_sent,f,0.7347670250896058
DE,1,system,sent_sent,pred,850.0
DE,1,system,sent_sent,truth,824.0
DE,1,system,sent_sent,tp,615.0
DE,1,merged,sys_lex,p,0.74875
DE,1,merged,sys_lex,r,0.7269417475728155
DE,1,merged,sys_lex,f,0.7376847290640394
DE,1,merged,sys_lex,pred,800.0
DE,1,merged,sys_lex,truth,824.0
DE,1,merged,sys_lex,tp,599.0
DE,1,system,sys_lex,p,0.7235294117647059
DE,1,system,sys_lex,r,0.7463592233009708
DE,1,system,sys_lex,f,0.7347670250896058
DE,1,system,sys_lex,pred,850.0
DE,1,system,sys_lex,truth,824.0
DE,1,system,sys_lex,tp,615.0
DE,1,merged,lex_sys,p,0.8823529411764706
DE,1,merged,lex_sys,r,0.5643203883495146
DE,1,merged,lex_sys,f,0.6883789785344189
DE,1,merged,lex_sys,pred,527.0
DE,1,merged,lex_sys,truth,824.0
DE,1,merged,lex_sys,tp,465.0
DE,1,system,lex_sys,p,0.7235294117647059
DE,1,system,lex_sys,r,0.7463592233009708
DE,1,system,lex_sys,f,0.7347670250896058
DE,1,system,lex_sys,pred,850.0
DE,1,system,lex_sys,truth,824.0
DE,1,system,lex_sys,tp,615.0
DE,1,merged,sys_sys,p,0.7235294117647059
DE,1,merged,sys_sys,r,0.7463592233009708
DE,1,merged,sys_sys,f,0.7347670250896058
DE,1,merged,sys_sys,pred,850.0
DE,1,merged,sys_sys,truth,824.0
DE,1,merged,sys_sys,tp,615.0
DE,1,system,sys_sys,p,0.7235294117647059
DE,1,system,sys_sys,r,0.7463592233009708
DE,1,system,sys_sys,f,0.7347670250896058
DE,1,system,sys_sys,pred,850.0
DE,1,system,sys_sys,truth,824.0
DE,1,system,sys_sys,tp,615.0
DE,1,merged,lex_lex,p,0.8780487804878049
DE,1,merged,lex_lex,r,0.5679611650485437
DE,1,merged,lex_lex,f,0.6897568165070008
DE,1,merged,lex_lex,pred,533.0
DE,1,merged,lex_lex,truth,824.0
DE,1,merged,lex_lex,tp,468.0
DE,1,system,lex_lex,p,0.7235294117647059
DE,1,system,lex_lex,r,0.7463592233009708
DE,1,system,lex_lex,f,0.7347670250896058
DE,1,system,lex_lex,pred,850.0
DE,1,system,lex_lex,truth,824.0
DE,1,system,lex_lex,tp,615.0
DE,1,merged,rand_rand,p,1.0
DE,1,merged,rand_rand,r,0.0012135922330097
DE,1,merged,rand_rand,f,0.0024242424242424
DE,1,merged,rand_rand,pred,1.0
DE,1,merged,rand_rand,truth,824.0
DE,1,merged,rand_rand,tp,1.0
DE,1,system,rand_rand,p,0.7235294117647059
DE,1,system,rand_rand,r,0.7463592233009708
DE,1,system,rand_rand,f,0.7347670250896058
DE,1,system,rand_rand,pred,850.0
DE,1,system,rand_rand,truth,824.0
DE,1,system,rand_rand,tp,615.0
DE,2,merged,sent_sent,p,0.7432432432432432
DE,2,merged,sent_sent,r,0.7342233009708737
DE,2,merged,sent_sent,f,0.7387057387057385
DE,2,merged,sent_sent,pred,814.0
DE,2,merged,sent_sent,truth,824.0
DE,2,merged,sent_sent,tp,605.0
DE,2,system,sent_sent,p,0.7432432432432432
DE,2,system,sent_sent,r,0.7342233009708737
DE,2,system,sent_sent,f,0.7387057387057385
DE,2,system,sent_sent,pred,814.0
DE,2,system,sent_sent,truth,824.0
DE,2,system,sent_sent,tp,605.0
DE,2,merged,sys_lex,p,0.7650130548302873
DE,2,merged,sys_lex,r,0.7111650485436893
DE,2,merged,sys_lex,f,0.7371069182389938
DE,2,merged,sys_lex,pred,766.0
DE,2,merged,sys_lex,truth,824.0
DE,2,merged,sys_lex,tp,586.0
DE,2,system,sys_lex,p,0.7432432432432432
DE,2,system,sys_lex,r,0.7342233009708737
DE,2,system,sys_lex,f,0.7387057387057385
DE,2,system,sys_lex,pred,814.0
DE,2,system,sys_lex,truth,824.0
DE,2,system,sys_lex,tp,605.0
DE,2,merged,lex_sys,p,0.8821292775665399
DE,2,merged,lex_sys,r,0.5631067961165048
DE,2,merged,lex_sys,f,0.6874074074074074
DE,2,merged,lex_sys,pred,526.0
DE,2,merged,lex_sys,truth,824.0
DE,2,merged,lex_sys,tp,464.0
DE,2,system,lex_sys,p,0.7432432432432432
DE,2,system,lex_sys,r,0.7342233009708737
DE,2,system,lex_sys,f,0.7387057387057385
DE,2,system,lex_sys,pred,814.0
DE,2,system,lex_sys,truth,824.0
DE,2,system,lex_sys,tp,605.0
DE,2,merged,sys_sys,p,0.7432432432432432
DE,2,merged,sys_sys,r,0.7342233009708737
DE,2,merged,sys_sys,f,0.7387057387057385
DE,2,merged,sys_sys,pred,814.0
DE,2,merged,sys_sys,truth,824.0
DE,2,merged,sys_sys,tp,605.0
DE,2,system,sys_sys,p,0.7432432432432432
DE,2,system,sys_sys,r,0.7342233009708737
DE,2,system,sys_sys,f,0.7387057387057385
DE,2,system,sys_sys,pred,814.0
DE,2,system,sys_sys,truth,824.0
DE,2,system,sys_sys,tp,605.0
DE,2,merged,lex_lex,p,0.8780487804878049
DE,2,merged,lex_lex,r,0.5679611650485437
DE,2,merged,lex_lex,f,0.6897568165070008
DE,2,merged,lex_lex,pred,533.0
DE,2,merged,lex_lex,truth,824.0
DE,2,merged,lex_lex,tp,468.0
DE,2,system,lex_lex,p,0.7432432432432432
DE,2,system,lex_lex,r,0.7342233009708737
DE,2,system,lex_lex,f,0.7387057387057385
DE,2,system,lex_lex,pred,814.0
DE,2,system,lex_lex,truth,824.0
DE,2,system,lex_lex,tp,605.0
DE,2,merged,rand_rand,p,1.0
DE,2,merged,rand_rand,r,0.0012135922330097
DE,2,merged,rand_rand,f,0.0024242424242424
DE,2,merged,rand_rand,pred,1.0
DE,2,merged,rand_rand,truth,824.0
DE,2,merged,rand_rand,tp,1.0
DE,2,system,rand_rand,p,0.7432432432432432
DE,2,system,rand_rand,r,0.7342233009708737
DE,2,system,rand_rand,f,0.7387057387057385
DE,2,system,rand_rand,pred,814.0
DE,2,system,rand_rand,truth,824.0
DE,2,system,rand_rand,tp,605.0
DE,3,merged,sent_sent,p,0.7490820073439413
DE,3,merged,sent_sent,r,0.7427184466019418
DE,3,merged,sent_sent,f,0.7458866544789762
DE,3,merged,sent_sent,pred,817.0
DE,3,merged,sent_sent,truth,824.0
DE,3,merged,sent_sent,tp,612.0
DE,3,system,sent_sent,p,0.7490820073439413
DE,3,system,sent_sent,r,0.7427184466019418
DE,3,system,sent_sent,f,0.7458866544789762
DE,3,system,sent_sent,pred,817.0
DE,3,system,sent_sent,truth,824.0
DE,3,system,sent_sent,tp,612.0
DE,3,merged,sys_lex,p,0.7693298969072165
DE,3,merged,sys_lex,r,0.7245145631067961
DE,3,merged,sys_lex,f,0.74625
DE,3,merged,sys_lex,pred,776.0
DE,3,merged,sys_lex,truth,824.0
DE,3,merged,sys_lex,tp,597.0
DE,3,system,sys_lex,p,0.7490820073439413
DE,3,system,sys_lex,r,0.7427184466019418
DE,3,system,sys_lex,f,0.7458866544789762
DE,3,system,sys_lex,pred,817.0
DE,3,system,sys_lex,truth,824.0
DE,3,system,sys_lex,tp,612.0
DE,3,merged,lex_sys,p,0.8825757575757576
DE,3,merged,lex_sys,r,0.5655339805825242
DE,3,merged,lex_sys,f,0.6893491124260355
DE,3,merged,lex_sys,pred,528.0
DE,3,merged,lex_sys,truth,824.0
DE,3,merged,lex_sys,tp,466.0
DE,3,system,lex_sys,p,0.7490820073439413
DE,3,system,lex_sys,r,0.7427184466019418
DE,3,system,lex_sys,f,0.7458866544789762
DE,3,system,lex_sys,pred,817.0
DE,3,system,lex_sys,truth,824.0
DE,3,system,lex_sys,tp,612.0
DE,3,merged,sys_sys,p,0.7490820073439413
DE,3,merged,sys_sys,r,0.7427184466019418
DE,3,merged,sys_sys,f,0.7458866544789762
DE,3,merged,sys_sys,pred,817.0
DE,3,merged,sys_sys,truth,824.0
DE,3,merged,sys_sys,tp,612.0
DE,3,system,sys_sys,p,0.7490820073439413
DE,3,system,sys_sys,r,0.7427184466019418
DE,3,system,sys_sys,f,0.7458866544789762
DE,3,system,sys_sys,pred,817.0
DE,3,system,sys_sys,truth,824.0
DE,3,system,sys_sys,tp,612.0
DE,3,merged,lex_lex,p,0.8780487804878049
DE,3,merged,lex_lex,r,0.5679611650485437
DE,3,merged,lex_lex,f,0.6897568165070008
DE,3,merged,lex_lex,pred,533.0
DE,3,merged,lex_lex,truth,824.0
DE,3,merged,lex_lex,tp,468.0
DE,3,system,lex_lex,p,0.7490820073439413
DE,3,system,lex_lex,r,0.7427184466019418
DE,3,system,lex_lex,f,0.7458866544789762
DE,3,system,lex_lex,pred,817.0
DE,3,system,lex_lex,truth,824.0
DE,3,system,lex_lex,tp,612.0
DE,3,merged,rand_rand,p,1.0
DE,3,merged,rand_rand,r,0.0012135922330097
DE,3,merged,rand_rand,f,0.0024242424242424
DE,3,merged,rand_rand,pred,1.0
DE,3,merged,rand_rand,truth,824.0
DE,3,merged,rand_rand,tp,1.0
DE,3,system,rand_rand,p,0.7490820073439413
DE,3,system,rand_rand,r,0.7427184466019418
DE,3,system,rand_rand,f,0.7458866544789762
DE,3,system,rand_rand,pred,817.0
DE,3,system,rand_rand,truth,824.0
DE,3,system,rand_rand,tp,612.0
DE,4,merged,sent_sent,p,0.7144522144522144
DE,4,merged,sent_sent,r,0.7439320388349514
DE,4,merged,sent_sent,f,0.7288941736028537
DE,4,merged,sent_sent,pred,858.0
DE,4,merged,sent_sent,truth,824.0
DE,4,merged,sent_sent,tp,613.0
DE,4,system,sent_sent,p,0.7144522144522144
DE,4,system,sent_sent,r,0.7439320388349514
DE,4,system,sent_sent,f,0.7288941736028537
DE,4,system,sent_sent,pred,858.0
DE,4,system,sent_sent,truth,824.0
DE,4,system,sent_sent,tp,613.0
DE,4,merged,sys_lex,p,0.7358024691358025
DE,4,merged,sys_lex,r,0.7233009708737864
DE,4,merged,sys_lex,f,0.7294981640146878
DE,4,merged,sys_lex,pred,810.0
DE,4,merged,sys_lex,truth,824.0
DE,4,merged,sys_lex,tp,596.0
DE,4,system,sys_lex,p,0.7144522144522144
DE,4,system,sys_lex,r,0.7439320388349514
DE,4,system,sys_lex,f,0.7288941736028537
DE,4,system,sys_lex,pred,858.0
DE,4,system,sys_lex,truth,824.0
DE,4,system,sys_lex,tp,613.0
DE,4,merged,lex_sys,p,0.8825757575757576
DE,4,merged,lex_sys,r,0.5655339805825242
DE,4,merged,lex_sys,f,0.6893491124260355
DE,4,merged,lex_sys,pred,528.0
DE,4,merged,lex_sys,truth,824.0
DE,4,merged,lex_sys,tp,466.0
DE,4,system,lex_sys,p,0.7144522144522144
DE,4,system,lex_sys,r,0.7439320388349514
DE,4,system,lex_sys,f,0.7288941736028537
DE,4,system,lex_sys,pred,858.0
DE,4,system,lex_sys,truth,824.0
DE,4,system,lex_sys,tp,613.0
DE,4,merged,sys_sys,p,0.7144522144522144
DE,4,merged,sys_sys,r,0.7439320388349514
DE,4,merged,sys_sys,f,0.7288941736028537
DE,4,merged,sys_sys,pred,858.0
DE,4,merged,sys_sys,truth,824.0
DE,4,merged,sys_sys,tp,613.0
DE,4,system,sys_sys,p,0.7144522144522144
DE,4,system,sys_sys,r,0.7439320388349514
DE,4,system,sys_sys,f,0.7288941736028537
DE,4,system,sys_sys,pred,858.0
DE,4,system,sys_sys,truth,824.0
DE,4,system,sys_sys,tp,613.0
